clade	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3-911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183	0.03915	0	0	0	0.01116	0.00366	0.01495	0.00392	0	0	0	0	0	0	0	0	0	0	0.00249	0	0	0	0	0	0	0	0	0	0	0	0.00902
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	0.02994	0.0011	0	0	0.01204	0	0	0.07011	0	0	0	0	0	0	0	0	0	0	0.03269	0	0	0	0	0	0	0.01663	0	0	0	0	0.00081
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	0.02954	0.11447	0.0043	0.09402	0.05001	0.0015	0.00898	0.05928	0.00274	0.00623	0	0	0.01105	0	0	0	0.0156	0.064	0.06055	0.03693	0	0	0.00932	0	0.0303	0.02647	0	0.02061	0.00117	0.00617	0.12428
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	0.02618	0.05163	0	0.64186	0.00104	0	0	0.0393	0	0	0	0	0.64718	0	0	0	0	0	0	0	0	0	0	0	0	0.07612	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB79152|o__OFGB79152	0.02496	0.02954	0	0.24055	0.09223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3009|o__OFGB3009	0.01823	0	0	0	0	0	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0.00123	0	0	0	0	0	0	0	0	0	0.00045	0
k__Bacteria|p__Firmicutes|c__CFGB1474|o__OFGB1474	0.01613	0	0	0.07127	0.17257	0	0	0	0	0	0	0	0	0	0	0	0.11222	0	1.50227	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260	0.01583	0	0	0	0.00677	0	0	0.00761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02715	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918	0.01523	0	0	0	0.01167	0	0	0.02453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00215	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	0.01335	0.13909	0.15664	0.19226	0.09456	0.26479	0.24001	0.0477	0	0	0	0	0.02268	0	0	0	0.00908	0.0703	0	0.00128	0	0	0	0	0.03244	0.02189	0	0.0026	0	0	0.01222
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	0.0131	0.00019	0.00186	0.00477	0.00965	0.00015	0.00709	0	0	0.01212	0	0	0.00712	0	0	0	0.01643	0	0.0037	0.01115	0	0	0	0	0	0	0	0.06919	0	0.00744	0.00038
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	0.01067	0.00743	0.00064	0.01167	0.0025	0	0.00101	0.03749	0	0	0	0	0.01529	0	0	0	0	0.01292	0.03661	0.04881	0	0	0	0	0.01315	0.00604	0	0	0	0.03808	0.00312
